,Deaths,Population,Overdose Rate,Unemployment Rate,Median Income,prisoner_count,incarceration rate (%)
304,639,5374691,11.4825,4.9,41821,23739,0.440747341
305,723,5440389,12.8842,5.0,56850,24114,0.442416098
306,779,5496269,13.775,3.1,62616,23768,0.431180394
307,676,5546935,11.8514,3.7,51862,23289,0.418766583
308,656,5592379,11.4484,3.0,55493,22553,0.403481538
309,762,5627367,13.1655,4.9,49047,22662,0.403545258
310,769,5653408,13.2276,5.2,42279,23184,0.412648282
311,693,5684965,11.751,3.1,47223,23141,0.410767756
312,743,5730388,12.464,6.4,40084,22066,0.387158263
313,650,5773552,10.9617,4.9,49033,22856,0.395044248
314,707,5828289,11.7444,4.6,49910,23001,0.393881606
315,831,5884563,13.6917,5.3,51526,21810,0.370611541
316,892,5928814,14.5914,4.0,48455,21705,0.365481751
317,1070,5976407,17.3942,5.4,44648,21266,0.355832526
318,1285,6006401,20.8723,3.2,56361,20951,0.34881121
319,2044,6016447,33.2231,4.7,45206,20236,0.335881045
320,689,6397634,10.4866,4.3,39300,10203,0.159392885
321,705,6417206,10.7226,5.4,41104,9879,0.153835373
322,823,6422565,12.6322,4.2,46054,9828,0.1530756
323,669,6412281,10.2832,3.7,49016,9825,0.153338758
324,780,6403290,11.9783,4.6,46139,10348,0.160848899
325,970,6410084,14.6903,5.0,50728,10773,0.167355554
326,922,6431559,14.0026,3.1,47050,11071,0.171649931
327,786,6468967,11.9004,2.8,59539,11174,0.171961477
328,816,6517613,12.2356,4.5,44117,11156,0.169194704
329,738,6547629,11.0093,4.0,44066,11162,0.170270123
330,857,6587536,12.7263,3.4,55214,11467,0.173558268
331,859,6646144,12.7309,4.5,65998,11127,0.167441575
332,1081,6692824,15.9971,3.7,60233,10622,0.158327612
333,1289,6745408,19.0436,5.4,54283,10447,0.154875732
334,1724,6794422,25.6654,5.3,38587,9493,0.139717551
335,2227,6811779,32.9897,3.9,46896,9038,0.132449729
336,621,9991120,6.1798,4.4,48314,48849,0.488184104
337,751,10015710,7.483,5.2,50602,50591,0.503732816
338,761,10041152,7.6001,4.1,43103,49358,0.489547888
339,867,10055315,8.6566,5.6,45886,48831,0.483273995
340,985,10051137,9.7723,3.1,51006,49493,0.489989291
341,1176,10036081,11.7143,4.7,43830,51515,0.510269628
342,1236,10001284,12.2128,4.6,49781,50233,0.498747893
343,1239,9946889,12.3849,3.8,45134,48738,0.487213276
344,1429,9901591,14.465,4.3,62968,45478,0.456160936
345,1394,9883640,13.9494,3.5,66633,44113,0.446617003
346,1386,9876187,14.2616,4.5,51200,42904,0.434391662
347,1308,9883360,13.5226,3.0,52504,43594,0.441122349
348,1553,9895622,15.8693,3.6,41280,43704,0.441535137
349,1762,9909877,18.0371,5.1,45817,43359,0.43753318
350,1980,9922576,20.3541,6.1,38160,42628,0.429606183
